Input,Model,MAE,RMSE,PCC,N_test,Rank_within_Input
CCS_land,LightGBM,63.61738748030305,92.39931717186795,0.7398872811153963,72,1
CCS_land,CatBoost,61.03132735342365,93.40397815941436,0.728757052310242,72,2
CCS_land,Random Forest,58.985157457049155,93.56677201291295,0.7285559088012903,72,3
CCS_land,XGBoost,66.11707753704654,98.3502172943646,0.7055759564720293,72,4
CDR_land,Random Forest,59.95964363567945,95.6634910173947,0.7108919386749323,72,1
CDR_land,CatBoost,60.941954068692134,98.15908903173961,0.7004735450424856,72,2
CDR_land,LightGBM,68.5246726601269,105.45542605207692,0.6633284233789523,72,3
CDR_land,XGBoost,71.79930204484198,111.55511873890667,0.6249820509978414,72,4
CHIRPS_land,CatBoost,54.961705753093334,85.91926663368771,0.7851140806241986,72,1
CHIRPS_land,Random Forest,56.67192514749193,88.85046106881359,0.7685500139856754,72,2
CHIRPS_land,LightGBM,63.939089608192184,90.92380735515009,0.7676723439367085,72,3
CHIRPS_land,XGBoost,63.45867826806175,94.0918038446913,0.7445517686112263,72,4
Comb1,CatBoost,65.31941304119415,94.5048457278502,0.7315296530523532,72,1
Comb1,LightGBM,68.59940949410775,97.72093705313839,0.7073495042536162,72,2
Comb1,XGBoost,67.97094526092211,98.98285922907104,0.6984374760823155,72,3
Comb1,Random Forest,69.7428872385973,99.24473585423976,0.6970127195203664,72,4
Comb1_land,CatBoost,59.02931576799897,87.98362081552462,0.7800271510087192,72,1
Comb1_land,Random Forest,63.8818480763321,91.44146498529257,0.7561618335064656,72,2
Comb1_land,LightGBM,63.40017716155478,92.02438909616316,0.7435620577073653,72,3
Comb1_land,XGBoost,65.5050386985143,93.62043671231535,0.7419724933704476,72,4
Comb2,Random Forest,66.21579166666669,94.5517128987843,0.7409610892200579,72,1
Comb2,LightGBM,65.76048963390102,94.87071304975434,0.7388383863787361,72,2
Comb2,CatBoost,62.02749464862604,95.9879241575983,0.7257392693261236,72,3
Comb2,XGBoost,66.36370469729107,96.76973111950106,0.7272146702110875,72,4
Comb2_land,CatBoost,55.86272086328265,87.88339636436179,0.775773042813813,72,1
Comb2_land,LightGBM,57.102197970799985,88.02925254085866,0.7787744424937266,72,2
Comb2_land,Random Forest,59.321820592134046,90.29335711095555,0.7603718192318839,72,3
Comb2_land,XGBoost,61.590484062830605,91.34440201938489,0.7638137481291472,72,4
Comb3,Random Forest,63.91269816172691,93.03443808885204,0.7348578065370176,72,1
Comb3,CatBoost,67.63192569909154,97.10846570104282,0.7126284412188927,72,2
Comb3,XGBoost,68.47542535993789,100.64430117913429,0.7011257010408989,72,3
Comb3,LightGBM,71.96249781806482,101.53429619555182,0.7043455404792603,72,4
Comb3_land,Random Forest,58.51273585232283,88.49112506438294,0.7564370147452631,72,1
Comb3_land,CatBoost,61.24269193403799,93.90783187627237,0.7294216206551047,72,2
Comb3_land,LightGBM,65.55106790316948,97.4532225143295,0.7145316608264476,72,3
Comb3_land,XGBoost,65.55033643643063,99.02145032568515,0.7107124632186058,72,4
ERA5_land,Random Forest,56.18186895615112,88.20843031574282,0.7750427597739432,72,1
ERA5_land,CatBoost,58.50777298687865,88.48652297829217,0.767235786777478,72,2
ERA5_land,LightGBM,60.550888824470704,88.67880655433711,0.7735432389686069,72,3
ERA5_land,XGBoost,66.4469586511453,96.41243229550746,0.7180414189699523,72,4
GSMAP_GAUGE_land,XGBoost,61.46808136718141,93.66651894288871,0.7790321109936919,72,1
GSMAP_GAUGE_land,Random Forest,60.61958522526854,93.94107895739567,0.7629837753054363,72,2
GSMAP_GAUGE_land,CatBoost,65.36327556325155,97.90854307654594,0.7366139002314241,72,3
GSMAP_GAUGE_land,LightGBM,67.61584533409008,100.39831268536383,0.7256140308026028,72,4
GSMAP_MVK_land,CatBoost,69.97883119201833,106.23686122438447,0.6598607530432709,72,1
GSMAP_MVK_land,Random Forest,65.88619456469453,106.7338615027871,0.652103050055006,72,2
GSMAP_MVK_land,XGBoost,72.81518687821097,110.77303899717482,0.6266446094183148,72,3
GSMAP_MVK_land,LightGBM,73.81837841159222,112.97392137651727,0.6159759680260525,72,4
IMERG_land,Random Forest,58.52558778172675,88.6794513705492,0.7563588299320821,72,1
IMERG_land,CatBoost,60.31700162768996,88.87801029282188,0.7595837509560242,72,2
IMERG_land,XGBoost,62.639401467972334,90.94368566379627,0.7497309336501602,72,3
IMERG_land,LightGBM,63.948520582787474,93.5511535343826,0.7382085443921702,72,4
PDIR_land,CatBoost,63.481911457867696,94.21699513759619,0.7301898546759918,72,1
PDIR_land,Random Forest,61.51634715591766,95.9065333806473,0.7173823373812799,72,2
PDIR_land,XGBoost,66.16518198947112,99.32461823432959,0.703090122812425,72,3
PDIR_land,LightGBM,69.20204802233125,103.5919797383729,0.6840668955365419,72,4
PERSIANN_land,CatBoost,68.32752735060143,109.80236206416598,0.6275893053381574,72,1
PERSIANN_land,LightGBM,67.11547646285204,114.03571326830807,0.6032278996777357,72,2
PERSIANN_land,XGBoost,73.44548405143951,118.36187831677665,0.5634044604458696,72,3
PERSIANN_land,Random Forest,67.57556769998264,119.60386765536757,0.5463075588673184,72,4
